year,crime_code,age,sex,count
2019,9,14-17,F,3.0
2019,9,18-30,M,857.0
2019,9,18-30,F,144.0
2019,9,31-40,M,837.0
2019,9,31-40,F,109.0
2019,9,41-64,M,985.0
2019,9,41-64,F,145.0
2019,9,65+,M,58.0
2019,9,65+,F,12.0
2019,10,14-17,M,206.0
2019,10,14-17,F,39.0
2019,10,18-30,M,1431.0
2019,10,18-30,F,221.0
2019,10,31-40,M,724.0
2019,10,31-40,F,180.0
2019,10,41-64,M,678.0
2019,10,41-64,F,181.0
2019,10,65+,M,35.0
2019,10,65+,F,8.0
2019,11,14-17,M,0.0
2019,11,14-17,F,0.0
2019,11,18-30,M,8.0
2019,11,18-30,F,3.0
2019,11,31-40,M,5.0
2019,11,31-40,F,1.0
2019,11,41-64,M,13.0
2019,11,41-64,F,2.0
2019,11,65+,M,4.0
2019,11,65+,F,0.0
2019,12,14-17,M,5.0
2019,12,14-17,F,1.0
2019,12,18-30,M,78.0
2019,12,18-30,F,13.0
2019,12,31-40,M,125.0
2019,12,31-40,F,28.0
2019,12,41-64,M,239.0
2019,12,41-64,F,69.0
2019,12,65+,M,37.0
2019,12,65+,F,8.0
2019,TOTAL,14-17,M,4208.0
2019,TOTAL,14-17,F,900.0
2019,TOTAL,18-30,M,21120.0
2019,TOTAL,18-30,F,5773.0
2019,TOTAL,31-40,M,15273.0
2019,TOTAL,31-40,F,3812.0
2019,TOTAL,41-64,M,15771.0
2019,TOTAL,41-64,F,4184.0
2019,TOTAL,65+,M,1227.0
2019,TOTAL,65+,F,385.0
2020,1,14-17,M,626.0
2020,1,14-17,F,173.0
2020,1,18-30,M,4197.0
2020,1,18-30,F,894.0
2020,1,31-40,M,3556.0
2020,1,31-40,F,734.0
2020,1,41-64,M,4361.0
2020,1,41-64,F,724.0
2020,1,65+,M,308.0
2020,1,65+,F,34.0
2020,1.1,14-17,M,17.0
2020,1.1,14-17,F,3.0
2020,1.1,18-30,M,62.0
2020,1.1,18-30,F,6.0
2020,1.1,31-40,M,26.0
2020,1.1,31-40,F,3.0
2020,1.1,41-64,M,36.0
2020,1.1,41-64,F,4.0
2020,1.1,65+,M,5.0
2020,1.1,65+,F,0.0
2020,1.1.1,14-17,M,9.0
2020,1.1.1,14-17,F,1.0
2020,1.1.1,18-30,M,25.0
2020,1.1.1,18-30,F,2.0
2020,1.1.1,31-40,M,3.0
2020,1.1.1,31-40,F,2.0
2020,1.1.1,41-64,M,12.0
2020,1.1.1,41-64,F,2.0
2020,1.1.1,65+,M,2.0
2020,1.1.1,65+,F,0.0
2020,1.2,14-17,M,239.0
2020,1.2,14-17,F,54.0
2020,1.2,18-30,M,982.0
2020,1.2,18-30,F,148.0
2020,1.2,31-40,M,559.0
2020,1.2,31-40,F,121.0
