measure,year,crime_code,name_en,level,age,sex,cases,is_age_total,comparable_band,share,rate_per_10000
victims,2019,2.1,Habitual domestic abuse,2,31-40,F,318,f,t,0.259804,
victims,2019,2.1,Habitual domestic abuse,2,31-40,U,1,f,t,0.000817,
victims,2019,2.1,Habitual domestic abuse,2,41-64,M,67,f,t,0.054739,
victims,2019,2.1,Habitual domestic abuse,2,41-64,F,332,f,t,0.271242,
victims,2019,2.1,Habitual domestic abuse,2,41-64,U,0,f,t,0.000000,
victims,2019,2.1,Habitual domestic abuse,2,65+,M,24,f,t,0.019608,
victims,2019,2.1,Habitual domestic abuse,2,65+,F,63,f,t,0.051471,
victims,2019,2.1,Habitual domestic abuse,2,65+,U,0,f,t,0.000000,
victims,2019,2.1,Habitual domestic abuse,2,U,M,1,f,f,0.000817,
victims,2019,2.1,Habitual domestic abuse,2,U,F,2,f,f,0.001634,
victims,2019,2.1,Habitual domestic abuse,2,U,U,0,f,f,0.000000,
victims,2019,2.2,Other offences against personal liberty,2,0-13,M,126,f,f,0.008728,
victims,2019,2.2,Other offences against personal liberty,2,0-13,F,137,f,f,0.009490,
victims,2019,2.2,Other offences against personal liberty,2,0-13,U,0,f,f,0.000000,
victims,2019,2.2,Other offences against personal liberty,2,14-17,M,323,f,t,0.022373,
victims,2019,2.2,Other offences against personal liberty,2,14-17,F,307,f,t,0.021265,
victims,2019,2.2,Other offences against personal liberty,2,14-17,U,0,f,t,0.000000,
victims,2019,2.2,Other offences against personal liberty,2,18-30,M,1610,f,t,0.111519,
victims,2019,2.2,Other offences against personal liberty,2,18-30,F,1690,f,t,0.117060,
victims,2019,2.2,Other offences against personal liberty,2,18-30,U,1,f,t,0.000069,
victims,2019,2.2,Other offences against personal liberty,2,31-40,M,1833,f,t,0.126965,
victims,2019,2.2,Other offences against personal liberty,2,31-40,F,1560,f,t,0.108056,
victims,2019,2.2,Other offences against personal liberty,2,31-40,U,1,f,t,0.000069,
victims,2019,2.2,Other offences against personal liberty,2,41-64,M,3311,f,t,0.229341,
victims,2019,2.2,Other offences against personal liberty,2,41-64,F,2574,f,t,0.178292,
victims,2019,2.2,Other offences against personal liberty,2,41-64,U,17,f,t,0.001178,
victims,2019,2.2,Other offences against personal liberty,2,65+,M,479,f,t,0.033179,
victims,2019,2.2,Other offences against personal liberty,2,65+,F,371,f,t,0.025698,
victims,2019,2.2,Other offences against personal liberty,2,65+,U,6,f,t,0.000416,
victims,2019,2.2,Other offences against personal liberty,2,U,M,60,f,f,0.004156,
victims,2019,2.2,Other offences against personal liberty,2,U,F,25,f,f,0.001732,
victims,2019,2.2,Other offences against personal liberty,2,U,U,6,f,f,0.000416,
victims,2019,3,Offences against sexual freedom,1,0-13,M,134,f,f,0.059662,
victims,2019,3,Offences against sexual freedom,1,0-13,F,356,f,f,0.158504,
