ine_code,year,crime_code,crime_count
28903,2021,INJURY,12
28903,2021,KIDNAPPING,0
28903,2021,SEXUAL,11
28903,2021,SEXUAL_PENETRATION,2
28903,2021,SEXUAL_OTHER,9
28903,2021,ROBBERY_VIOLENT,25
28903,2021,BURGLARY,47
28903,2021,BURGLARY_DWELLING,35
28903,2021,THEFT,374
28903,2021,VEHICLE_THEFT,5
28903,2021,DRUG_TRAFFICKING,6
28903,2021,OTHER_CONVENTIONAL,708
28903,2021,CYBERCRIME,320
28903,2021,CYBER_FRAUD,284
28903,2021,CYBER_OTHER,36
28903,2021,TOTAL,1508
28161,2021,CONVENTIONAL,2871
28161,2021,HOM_COMPLETED,0
28161,2021,HOM_ATTEMPTED,0
28161,2021,INJURY,58
28161,2021,KIDNAPPING,0
28161,2021,SEXUAL,41
28161,2021,SEXUAL_PENETRATION,4
28161,2021,SEXUAL_OTHER,37
28161,2021,ROBBERY_VIOLENT,53
28161,2021,BURGLARY,115
28161,2021,BURGLARY_DWELLING,68
28161,2021,THEFT,656
28161,2021,VEHICLE_THEFT,40
28161,2021,DRUG_TRAFFICKING,13
28161,2021,OTHER_CONVENTIONAL,1895
28161,2021,CYBERCRIME,572
28161,2021,CYBER_FRAUD,497
28161,2021,CYBER_OTHER,75
28161,2021,TOTAL,3443
28176,2021,CONVENTIONAL,810
28176,2021,HOM_COMPLETED,0
28176,2021,HOM_ATTEMPTED,0
28176,2021,INJURY,11
28176,2021,KIDNAPPING,0
28176,2021,SEXUAL,8
28176,2021,SEXUAL_PENETRATION,1
28176,2021,SEXUAL_OTHER,7
28176,2021,ROBBERY_VIOLENT,20
28176,2021,BURGLARY,57
28176,2021,BURGLARY_DWELLING,47
28176,2021,THEFT,240
28176,2021,VEHICLE_THEFT,6
28176,2021,DRUG_TRAFFICKING,0
28176,2021,OTHER_CONVENTIONAL,468
28176,2021,CYBERCRIME,123
28176,2021,CYBER_FRAUD,104
28176,2021,CYBER_OTHER,19
28176,2021,TOTAL,933
28181,2021,CONVENTIONAL,1048
28181,2021,HOM_COMPLETED,0
28181,2021,HOM_ATTEMPTED,0
28181,2021,INJURY,13
28181,2021,KIDNAPPING,0
28181,2021,SEXUAL,12
28181,2021,SEXUAL_PENETRATION,1
28181,2021,SEXUAL_OTHER,11
28181,2021,ROBBERY_VIOLENT,53
28181,2021,BURGLARY,100
28181,2021,BURGLARY_DWELLING,73
28181,2021,THEFT,274
28181,2021,VEHICLE_THEFT,6
28181,2021,DRUG_TRAFFICKING,3
28181,2021,OTHER_CONVENTIONAL,587
28181,2021,CYBERCRIME,213
28181,2021,CYBER_FRAUD,183
28181,2021,CYBER_OTHER,30
28181,2021,TOTAL,1261
28005,2022,CONVENTIONAL,8107
28005,2022,HOM_COMPLETED,1
28005,2022,HOM_ATTEMPTED,6
28005,2022,INJURY,86
28005,2022,KIDNAPPING,0
28005,2022,SEXUAL,55
28005,2022,SEXUAL_PENETRATION,11
28005,2022,SEXUAL_OTHER,44
28005,2022,ROBBERY_VIOLENT,212
28005,2022,BURGLARY,359
28005,2022,BURGLARY_DWELLING,164
28005,2022,THEFT,2705
28005,2022,VEHICLE_THEFT,234
28005,2022,DRUG_TRAFFICKING,42
28005,2022,OTHER_CONVENTIONAL,4407
28005,2022,CYBERCRIME,2222
28005,2022,CYBER_FRAUD,1925
28005,2022,CYBER_OTHER,297
28005,2022,TOTAL,10329
28006,2022,CONVENTIONAL,4160
28006,2022,HOM_COMPLETED,0
28006,2022,HOM_ATTEMPTED,1
28006,2022,INJURY,37
28006,2022,KIDNAPPING,0
28006,2022,SEXUAL,25
28006,2022,SEXUAL_PENETRATION,8
28006,2022,SEXUAL_OTHER,17
28006,2022,ROBBERY_VIOLENT,96
28006,2022,BURGLARY,182
28006,2022,BURGLARY_DWELLING,106
28006,2022,THEFT,1241
28006,2022,VEHICLE_THEFT,241
28006,2022,DRUG_TRAFFICKING,31
28006,2022,OTHER_CONVENTIONAL,2306
28006,2022,CYBERCRIME,1098
28006,2022,CYBER_FRAUD,1026
28006,2022,CYBER_OTHER,72
28006,2022,TOTAL,5258
28007,2022,CONVENTIONAL,6186
28007,2022,HOM_COMPLETED,2
28007,2022,HOM_ATTEMPTED,2
28007,2022,INJURY,31
28007,2022,KIDNAPPING,1
28007,2022,SEXUAL,44
28007,2022,SEXUAL_PENETRATION,4
28007,2022,SEXUAL_OTHER,40
28007,2022,ROBBERY_VIOLENT,195
28007,2022,BURGLARY,250
28007,2022,BURGLARY_DWELLING,170
28007,2022,THEFT,2565
28007,2022,VEHICLE_THEFT,98
28007,2022,DRUG_TRAFFICKING,30
28007,2022,OTHER_CONVENTIONAL,2968
28007,2022,CYBERCRIME,1564
28007,2022,CYBER_FRAUD,1352
28007,2022,CYBER_OTHER,212
28007,2022,TOTAL,7750
28009,2022,CONVENTIONAL,675
28009,2022,HOM_COMPLETED,0
28009,2022,HOM_ATTEMPTED,0
28009,2022,INJURY,1
28009,2022,KIDNAPPING,0
28009,2022,SEXUAL,5
28009,2022,SEXUAL_PENETRATION,0
28009,2022,SEXUAL_OTHER,5
28009,2022,ROBBERY_VIOLENT,9
28009,2022,BURGLARY,61
28009,2022,BURGLARY_DWELLING,42
28009,2022,THEFT,163
28009,2022,VEHICLE_THEFT,10
28009,2022,DRUG_TRAFFICKING,3
28009,2022,OTHER_CONVENTIONAL,423
28009,2022,CYBERCRIME,206
28009,2022,CYBER_FRAUD,191
28009,2022,CYBER_OTHER,15
28009,2022,TOTAL,881
28013,2022,CONVENTIONAL,2368
28013,2022,HOM_COMPLETED,0
28013,2022,HOM_ATTEMPTED,2
28013,2022,INJURY,15
28013,2022,KIDNAPPING,0
28013,2022,SEXUAL,12
28013,2022,SEXUAL_PENETRATION,0
28013,2022,SEXUAL_OTHER,12
28013,2022,ROBBERY_VIOLENT,42
28013,2022,BURGLARY,86
28013,2022,BURGLARY_DWELLING,59
28013,2022,THEFT,714
28013,2022,VEHICLE_THEFT,44
28013,2022,DRUG_TRAFFICKING,16
28013,2022,OTHER_CONVENTIONAL,1437
28013,2022,CYBERCRIME,497
28013,2022,CYBER_FRAUD,465
28013,2022,CYBER_OTHER,32
28013,2022,TOTAL,2865
28014,2022,CONVENTIONAL,2548
28014,2022,HOM_COMPLETED,0
28014,2022,HOM_ATTEMPTED,1
28014,2022,INJURY,53
28014,2022,KIDNAPPING,2
28014,2022,SEXUAL,13
28014,2022,SEXUAL_PENETRATION,1
28014,2022,SEXUAL_OTHER,12
28014,2022,ROBBERY_VIOLENT,92
28014,2022,BURGLARY,108
28014,2022,BURGLARY_DWELLING,59
28014,2022,THEFT,755
28014,2022,VEHICLE_THEFT,24
28014,2022,DRUG_TRAFFICKING,13
28014,2022,OTHER_CONVENTIONAL,1487
28014,2022,CYBERCRIME,416
28014,2022,CYBER_FRAUD,352
28014,2022,CYBER_OTHER,64
28014,2022,TOTAL,2964
28015,2022,CONVENTIONAL,2476
28015,2022,HOM_COMPLETED,0
28015,2022,HOM_ATTEMPTED,1
28015,2022,INJURY,16
28015,2022,KIDNAPPING,0
28015,2022,SEXUAL,13
28015,2022,SEXUAL_PENETRATION,3
28015,2022,SEXUAL_OTHER,10
28015,2022,ROBBERY_VIOLENT,36
28015,2022,BURGLARY,68
28015,2022,BURGLARY_DWELLING,58
28015,2022,THEFT,1276
28015,2022,VEHICLE_THEFT,46
28015,2022,DRUG_TRAFFICKING,3
28015,2022,OTHER_CONVENTIONAL,1017
28015,2022,CYBERCRIME,314
28015,2022,CYBER_FRAUD,276
28015,2022,CYBER_OTHER,38
28015,2022,TOTAL,2790
28022,2022,CONVENTIONAL,1752
28022,2022,HOM_COMPLETED,0
28022,2022,HOM_ATTEMPTED,0
28022,2022,INJURY,17
28022,2022,KIDNAPPING,0
28022,2022,SEXUAL,20
28022,2022,SEXUAL_PENETRATION,3
28022,2022,SEXUAL_OTHER,17
28022,2022,ROBBERY_VIOLENT,26
28022,2022,BURGLARY,150
28022,2022,BURGLARY_DWELLING,143
28022,2022,THEFT,471
28022,2022,VEHICLE_THEFT,11
28022,2022,DRUG_TRAFFICKING,3
28022,2022,OTHER_CONVENTIONAL,1054
28022,2022,CYBERCRIME,513
28022,2022,CYBER_FRAUD,457
28022,2022,CYBER_OTHER,56
28022,2022,TOTAL,2265
28040,2022,CONVENTIONAL,1215
28040,2022,HOM_COMPLETED,1
28040,2022,HOM_ATTEMPTED,2
28040,2022,INJURY,22
28040,2022,KIDNAPPING,0
28040,2022,SEXUAL,14
28040,2022,SEXUAL_PENETRATION,2
28040,2022,SEXUAL_OTHER,12
28040,2022,ROBBERY_VIOLENT,32
28040,2022,BURGLARY,73
28040,2022,BURGLARY_DWELLING,45
28040,2022,THEFT,255
28040,2022,VEHICLE_THEFT,25
28040,2022,DRUG_TRAFFICKING,7
28040,2022,OTHER_CONVENTIONAL,784
28040,2022,CYBERCRIME,164
28040,2022,CYBER_FRAUD,130
28040,2022,CYBER_OTHER,34
28040,2022,TOTAL,1379
28045,2022,CONVENTIONAL,1561
28045,2022,HOM_COMPLETED,0
28045,2022,HOM_ATTEMPTED,1
28045,2022,INJURY,23
28045,2022,KIDNAPPING,0
28045,2022,SEXUAL,7
28045,2022,SEXUAL_PENETRATION,0
28045,2022,SEXUAL_OTHER,7
28045,2022,ROBBERY_VIOLENT,21
28045,2022,BURGLARY,84
28045,2022,BURGLARY_DWELLING,68
28045,2022,THEFT,356
28045,2022,VEHICLE_THEFT,10
28045,2022,DRUG_TRAFFICKING,4
28045,2022,OTHER_CONVENTIONAL,1055
28045,2022,CYBERCRIME,363
28045,2022,CYBER_FRAUD,340
28045,2022,CYBER_OTHER,23
28045,2022,TOTAL,1924
28047,2022,CONVENTIONAL,2510
28047,2022,HOM_COMPLETED,0
28047,2022,HOM_ATTEMPTED,0
28047,2022,INJURY,46
28047,2022,KIDNAPPING,1
28047,2022,SEXUAL,29
28047,2022,SEXUAL_PENETRATION,5
28047,2022,SEXUAL_OTHER,24
28047,2022,ROBBERY_VIOLENT,80
28047,2022,BURGLARY,143
28047,2022,BURGLARY_DWELLING,102
