year,crime_code,age,sex,count
2020,2.1,14-17,F,12
2020,2.1,18-30,M,182
2020,2.1,18-30,F,17
2020,2.1,31-40,M,206
2020,2.1,31-40,F,30
2020,2.1,41-64,M,291
2020,2.1,41-64,F,26
2020,2.1,65+,M,27
2020,2.1,65+,F,2
2020,2.2,14-17,M,190
2020,2.2,14-17,F,55
2020,2.2,18-30,M,887
2020,2.2,18-30,F,182
2020,2.2,31-40,M,805
2020,2.2,31-40,F,188
2020,2.2,41-64,M,1170
2020,2.2,41-64,F,283
2020,2.2,65+,M,106
2020,2.2,65+,F,35
2020,3,14-17,M,78
2020,3,14-17,F,2
2020,3,18-30,M,317
2020,3,18-30,F,14
2020,3,31-40,M,295
2020,3,31-40,F,3
2020,3,41-64,M,396
2020,3,41-64,F,7
2020,3,65+,M,55
2020,3,65+,F,0
2020,3.1,14-17,M,46
2020,3.1,14-17,F,0
2020,3.1,18-30,M,151
2020,3.1,18-30,F,6
2020,3.1,31-40,M,159
2020,3.1,31-40,F,2
2020,3.1,41-64,M,234
2020,3.1,41-64,F,1
2020,3.1,65+,M,37
2020,3.1,65+,F,0
2020,3.2,14-17,M,21
2020,3.2,14-17,F,0
2020,3.2,18-30,M,121
2020,3.2,18-30,F,2
2020,3.2,31-40,M,89
2020,3.2,31-40,F,0
2020,3.2,41-64,M,90
2020,3.2,41-64,F,0
2020,3.2,65+,M,6
2020,3.2,65+,F,0
2020,3.3,14-17,M,0
2020,3.3,14-17,F,0
2020,3.3,18-30,M,9
2020,3.3,18-30,F,0
2020,3.3,31-40,M,4
2020,3.3,31-40,F,0
2020,3.3,41-64,M,7
2020,3.3,41-64,F,1
2020,3.3,65+,M,1
2020,3.3,65+,F,0
2020,3.4,14-17,M,4
2020,3.4,14-17,F,1
2020,3.4,18-30,M,10
2020,3.4,18-30,F,0
2020,3.4,31-40,M,11
2020,3.4,31-40,F,0
2020,3.4,41-64,M,21
2020,3.4,41-64,F,0
2020,3.4,65+,M,5
2020,3.4,65+,F,0
2020,3.5,14-17,M,7
2020,3.5,14-17,F,1
2020,3.5,18-30,M,26
2020,3.5,18-30,F,6
2020,3.5,31-40,M,32
2020,3.5,31-40,F,1
2020,3.5,41-64,M,44
2020,3.5,41-64,F,5
2020,3.5,65+,M,6
2020,3.5,65+,F,0
2020,4,14-17,M,0
2020,4,14-17,F,0
2020,4,18-30,M,12
2020,4,18-30,F,19
2020,4,31-40,M,20
2020,4,31-40,F,12
2020,4,41-64,M,38
2020,4,41-64,F,20
2020,4,65+,M,6
2020,4,65+,F,6
2020,5,14-17,M,2268
2020,5,14-17,F,432
2020,5,18-30,M,8035
2020,5,18-30,F,2530
2020,5,31-40,M,5001
2020,5,31-40,F,1836
2020,5,41-64,M,4326
2020,5,41-64,F,1778
2020,5,65+,M,329
2020,5,65+,F,196
2020,5.1,14-17,M,516
2020,5.1,14-17,F,270
2020,5.1,18-30,M,3270
2020,5.1,18-30,F,1776
2020,5.1,31-40,M,2513
2020,5.1,31-40,F,1293
2020,5.1,41-64,M,2305
2020,5.1,41-64,F,1326
2020,5.1,65+,M,226
2020,5.1,65+,F,172
2020,5.2,14-17,M,439
2020,5.2,14-17,F,33
2020,5.2,18-30,M,1540
2020,5.2,18-30,F,103
2020,5.2,31-40,M,934
2020,5.2,31-40,F,81
2020,5.2,41-64,M,574
2020,5.2,41-64,F,47
2020,5.2,65+,M,11
2020,5.2,65+,F,0
2020,5.2.1,14-17,M,89
2020,5.2.1,14-17,F,4
2020,5.2.1,18-30,M,350
2020,5.2.1,18-30,F,22
2020,5.2.1,31-40,M,242
2020,5.2.1,31-40,F,19
2020,5.2.1,41-64,M,172
2020,5.2.1,41-64,F,11
2020,5.2.1,65+,M,2
2020,5.2.1,65+,F,0
2020,5.2.2,14-17,M,97
2020,5.2.2,14-17,F,18
2020,5.2.2,18-30,M,500
2020,5.2.2,18-30,F,38
2020,5.2.2,31-40,M,214
2020,5.2.2,31-40,F,13
2020,5.2.2,41-64,M,115
2020,5.2.2,41-64,F,21
2020,5.2.2,65+,M,6
2020,5.2.2,65+,F,0
2020,5.2.3,14-17,M,148
2020,5.2.3,14-17,F,6
2020,5.2.3,18-30,M,385
2020,5.2.3,18-30,F,23
2020,5.2.3,31-40,M,293
2020,5.2.3,31-40,F,34
2020,5.2.3,41-64,M,144
2020,5.2.3,41-64,F,8
2020,5.2.3,65+,M,2
2020,5.2.3,65+,F,0
2020,5.3,14-17,M,952
2020,5.3,14-17,F,91
2020,5.3,18-30,M,1455
2020,5.3,18-30,F,135
2020,5.3,31-40,M,467
2020,5.3,31-40,F,87
2020,5.3,41-64,M,396
2020,5.3,41-64,F,69
2020,5.3,65+,M,3
2020,5.3,65+,F,2
2020,5.3.1,14-17,M,678
2020,5.3.1,14-17,F,69
2020,5.3.1,18-30,M,955
2020,5.3.1,18-30,F,67
2020,5.3.1,31-40,M,250
2020,5.3.1,31-40,F,28
2020,5.3.1,41-64,M,180
2020,5.3.1,41-64,F,25
2020,5.3.1,65+,M,1
2020,5.3.1,65+,F,0
2020,5.3.2,14-17,M,17
2020,5.3.2,14-17,F,1
2020,5.3.2,18-30,M,68
2020,5.3.2,18-30,F,10
2020,5.3.2,31-40,M,38
2020,5.3.2,31-40,F,13
2020,5.3.2,41-64,M,27
2020,5.3.2,41-64,F,8
2020,5.3.2,65+,M,0
2020,5.3.2,65+,F,1
2020,5.3.3,14-17,M,75
2020,5.3.3,14-17,F,9
2020,5.3.3,18-30,M,229
2020,5.3.3,18-30,F,42
2020,5.3.3,31-40,M,141
2020,5.3.3,31-40,F,40
2020,5.3.3,41-64,M,170
2020,5.3.3,41-64,F,28
2020,5.3.3,65+,M,0
2020,5.3.3,65+,F,0
2020,5.4,14-17,M,114
2020,5.4,14-17,F,1
2020,5.4,18-30,M,163
2020,5.4,18-30,F,14
2020,5.4,31-40,M,172
2020,5.4,31-40,F,20
2020,5.4,41-64,M,112
2020,5.4,41-64,F,21
2020,5.4,65+,M,6
2020,5.4,65+,F,1
2020,5.5,14-17,M,28
2020,5.5,14-17,F,7
2020,5.5,18-30,M,583
2020,5.5,18-30,F,214
2020,5.5,31-40,M,392
2020,5.5,31-40,F,174
2020,5.5,41-64,M,381
2020,5.5,41-64,F,139
2020,5.5,65+,M,34
2020,5.5,65+,F,7
2020,5.5.1,14-17,M,21
2020,5.5.1,14-17,F,3
2020,5.5.1,18-30,M,317
2020,5.5.1,18-30,F,121
2020,5.5.1,31-40,M,178
2020,5.5.1,31-40,F,89
2020,5.5.1,41-64,M,131
2020,5.5.1,41-64,F,56
2020,5.5.1,65+,M,19
2020,5.5.1,65+,F,3
2020,5.6,14-17,M,125
2020,5.6,14-17,F,10
2020,5.6,18-30,M,313
2020,5.6,18-30,F,39
2020,5.6,31-40,M,136
2020,5.6,31-40,F,26
2020,5.6,41-64,M,165
2020,5.6,41-64,F,32
2020,5.6,65+,M,25
2020,5.6,65+,F,6
2020,5.7,14-17,M,0
2020,5.7,14-17,F,0
2020,5.7,18-30,M,12
2020,5.7,18-30,F,4
2020,5.7,31-40,M,21
2020,5.7,31-40,F,8
2020,5.7,41-64,M,22
2020,5.7,41-64,F,4
2020,5.7,65+,M,0
2020,5.7,65+,F,0
2020,5.8,14-17,M,0
2020,5.8,14-17,F,0
2020,5.8,18-30,M,24
2020,5.8,18-30,F,4
2020,5.8,31-40,M,12
2020,5.8,31-40,F,10
2020,5.8,41-64,M,41
2020,5.8,41-64,F,12
2020,5.8,65+,M,2
2020,5.8,65+,F,1
2020,5.9,14-17,M,94
2020,5.9,14-17,F,20
2020,5.9,18-30,M,675
2020,5.9,18-30,F,241
2020,5.9,31-40,M,354
2020,5.9,31-40,F,137
2020,5.9,41-64,M,330
2020,5.9,41-64,F,128
2020,5.9,65+,M,22
2020,5.9,65+,F,7
2020,6,14-17,M,141
2020,6,14-17,F,9
2020,6,18-30,M,2240
2020,6,18-30,F,232
2020,6,31-40,M,1703
2020,6,31-40,F,152
2020,6,41-64,M,1812
2020,6,41-64,F,195
2020,6,65+,M,71
2020,6,65+,F,8
2020,6.1,14-17,M,92
2020,6.1,14-17,F,5
2020,6.1,18-30,M,1072
2020,6.1,18-30,F,122
2020,6.1,31-40,M,676
2020,6.1,31-40,F,77
2020,6.1,41-64,M,613
2020,6.1,41-64,F,93
2020,6.1,65+,M,15
2020,6.1,65+,F,4
2020,6.2,14-17,M,44
2020,6.2,14-17,F,4
2020,6.2,18-30,M,1109
2020,6.2,18-30,F,97
2020,6.2,31-40,M,979
2020,6.2,31-40,F,65
2020,6.2,41-64,M,1140
2020,6.2,41-64,F,92
2020,6.2,65+,M,52
2020,6.2,65+,F,2
2020,6.3,14-17,M,5
2020,6.3,14-17,F,0
2020,6.3,18-30,M,59
2020,6.3,18-30,F,13
2020,6.3,31-40,M,48
2020,6.3,31-40,F,10
2020,6.3,41-64,M,59
2020,6.3,41-64,F,10
2020,6.3,65+,M,4
2020,6.3,65+,F,2
2020,7,14-17,M,25
2020,7,14-17,F,8
2020,7,18-30,M,482
2020,7,18-30,F,125
2020,7,31-40,M,375
2020,7,31-40,F,112
2020,7,41-64,M,287
2020,7,41-64,F,127
2020,7,65+,M,13
2020,7,65+,F,5
2020,8,14-17,M,0
2020,8,14-17,F,0
2020,8,18-30,M,3
2020,8,18-30,F,0
2020,8,31-40,M,5
2020,8,31-40,F,0
2020,8,41-64,M,7
2020,8,41-64,F,2
2020,8,65+,M,2
2020,8,65+,F,0
2020,9,14-17,M,24
2020,9,14-17,F,9
2020,9,18-30,M,947
2020,9,18-30,F,102
2020,9,31-40,M,846
2020,9,31-40,F,99
2020,9,41-64,M,1021
2020,9,41-64,F,138
2020,9,65+,M,50
2020,9,65+,F,9
2020,10,14-17,M,291
2020,10,14-17,F,54
2020,10,18-30,M,2028
2020,10,18-30,F,332
2020,10,31-40,M,1065
2020,10,31-40,F,237
2020,10,41-64,M,1162
2020,10,41-64,F,248
2020,10,65+,M,42
2020,10,65+,F,4
2020,11,14-17,M,0
2020,11,14-17,F,0
2020,11,18-30,M,6
2020,11,18-30,F,0
2020,11,31-40,M,9
2020,11,31-40,F,0
